,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ZEC-USD,0.027474938618427088,7.0
1,XTZ-USD,MKR-USD,0.0014804465783100917,11.0
2,XTZ-USD,CELO-USD,1.64496270827515,11.0
3,XTZ-USD,ENJ-USD,2.5959335631406915,4.0
4,XTZ-USD,ZRX-USD,3.8921546255275916,6.0
5,XTZ-USD,COMP-USD,0.02550771304561703,5.0
6,XTZ-USD,SUSHI-USD,0.9724589255100389,5.0
7,XTZ-USD,CRV-USD,1.0797826255248055,10.0
8,XTZ-USD,SOL-USD,0.04683873442614481,4.0
9,XTZ-USD,AAVE-USD,0.014212289538648021,12.0
10,XTZ-USD,MATIC-USD,0.9953882514468487,12.0
11,XTZ-USD,1INCH-USD,2.0572232631687144,5.0
12,ETC-USD,XLM-USD,208.61932760788545,7.0
13,ETC-USD,EOS-USD,18.200017791248587,21.0
14,ETC-USD,UMA-USD,10.346409024060097,6.0
15,ETC-USD,AAVE-USD,0.27465309868653875,14.0
16,ZEC-USD,MKR-USD,0.05388037171974787,9.0
17,ZEC-USD,CELO-USD,59.863969996489864,11.0
18,ZEC-USD,ENJ-USD,94.46970099688139,8.0
19,ZEC-USD,ZRX-USD,141.64255283096085,9.0
20,ZEC-USD,COMP-USD,0.9282767626587302,7.0
21,ZEC-USD,SUSHI-USD,35.390309312447776,8.0
22,ZEC-USD,CRV-USD,39.298021957530494,8.0
23,ZEC-USD,SOL-USD,1.7046691988387663,4.0
24,ZEC-USD,AAVE-USD,0.5172165173443279,12.0
25,MKR-USD,ENJ-USD,1752.9872633397858,9.0
26,MKR-USD,ZRX-USD,2628.426612493455,8.0
27,MKR-USD,COMP-USD,17.224830203086103,10.0
28,MKR-USD,SUSHI-USD,656.6842239611414,10.0
29,MKR-USD,ETH-USD,0.37218576439956924,8.0
30,ATOM-USD,ETH-USD,0.005917195339935276,8.0
31,BCH-USD,ZRX-USD,454.41734855408527,14.0
32,BCH-USD,UMA-USD,62.51245272393359,5.0
33,BCH-USD,1INCH-USD,240.18998371120068,16.0
34,CELO-USD,ENJ-USD,1.577770811727312,12.0
35,CELO-USD,FIL-USD,0.11393228946971984,4.0
36,CELO-USD,ZRX-USD,2.3656951981039733,10.0
37,CELO-USD,COMP-USD,0.01550367378574235,10.0
38,CELO-USD,SUSHI-USD,0.5910380197712178,15.0
39,CELO-USD,CRV-USD,0.6563438421629308,9.0
40,CELO-USD,SOL-USD,0.02846790995799736,6.0
41,CELO-USD,MATIC-USD,0.605065415126418,7.0
42,CELO-USD,1INCH-USD,1.2504453630113468,6.0
43,ENJ-USD,FIL-USD,0.07218774029533118,14.0
44,ENJ-USD,ZRX-USD,1.4992074904788495,6.0
45,ENJ-USD,COMP-USD,0.009825560101394494,3.0
46,ENJ-USD,NEAR-USD,0.19788266245010627,24.0
47,ENJ-USD,SUSHI-USD,0.3745874522695247,4.0
48,ENJ-USD,SOL-USD,0.018041387613456788,5.0
49,ENJ-USD,LTC-USD,0.0044886200961193855,8.0
50,ENJ-USD,AAVE-USD,0.005474134158189434,16.0
51,ENJ-USD,MATIC-USD,0.38339670544828297,12.0
52,RUNE-USD,NEAR-USD,0.7290957980416819,17.0
53,RUNE-USD,SOL-USD,0.06643737782090411,12.0
54,FIL-USD,ZRX-USD,20.76083092281673,12.0
55,FIL-USD,NEAR-USD,2.741059992134722,14.0
56,FIL-USD,ALGO-USD,27.950830598889013,16.0
57,FIL-USD,UMA-USD,2.8554269888884507,12.0
58,FIL-USD,SOL-USD,0.2498440029284285,6.0
59,FIL-USD,AAVE-USD,0.07582626633074208,3.0
60,FIL-USD,MATIC-USD,5.31031297893323,7.0
61,FIL-USD,1INCH-USD,10.973954658708378,9.0
62,ZRX-USD,COMP-USD,0.006552419372854429,7.0
63,ZRX-USD,NEAR-USD,0.13198050592766333,19.0
64,ZRX-USD,SUSHI-USD,0.2498052885836671,8.0
65,ZRX-USD,SOL-USD,0.012031715774638007,6.0
66,ZRX-USD,AAVE-USD,0.003650692837609755,14.0
67,ZRX-USD,UNI-USD,0.047406460193253265,9.0
68,ZRX-USD,MATIC-USD,0.2557022606865581,10.0
69,ZRX-USD,1INCH-USD,0.5284626603486428,7.0
70,TRX-USD,BTC-USD,2.2571240681039754e-06,22.0
71,TRX-USD,DOT-USD,0.010441655155052031,13.0
72,YFI-USD,XLM-USD,86690.86948814246,7.0
73,COMP-USD,SUSHI-USD,38.12132047677626,6.0
74,COMP-USD,SOL-USD,1.8361389230593805,4.0
75,XLM-USD,UMA-USD,0.04959089192225772,6.0
76,XLM-USD,SOL-USD,0.004338320033155376,6.0
77,XLM-USD,AAVE-USD,0.001316498605350121,12.0
78,EOS-USD,SOL-USD,0.04969868096903834,12.0
79,NEAR-USD,DOGE-USD,24.777789608970814,19.0
80,NEAR-USD,UNI-USD,0.35894738495364825,18.0
81,NEAR-USD,MATIC-USD,1.9362205717960999,14.0
82,ALGO-USD,SOL-USD,0.008932377840641485,14.0
83,ALGO-USD,AAVE-USD,0.00271167003382443,18.0
84,SUSHI-USD,SOL-USD,0.04816314743203283,5.0
85,SUSHI-USD,AAVE-USD,0.01461347529833566,17.0
86,ADA-USD,ETH-USD,0.00021071398495132697,6.0
87,UMA-USD,SOL-USD,0.08747332813564901,6.0
88,UMA-USD,AAVE-USD,0.02654102157864618,14.0
89,UMA-USD,MATIC-USD,1.85892888458085,12.0
90,UMA-USD,1INCH-USD,3.841974571658541,8.0
91,CRV-USD,SOL-USD,0.04336946519591096,6.0
92,CRV-USD,AAVE-USD,0.013161185897824694,5.0
93,SOL-USD,LTC-USD,0.24867438374586756,10.0
94,SOL-USD,AAVE-USD,0.3033281540306962,6.0
95,SOL-USD,UNI-USD,3.9387195233939885,5.0
96,SOL-USD,MATIC-USD,21.244545607310783,6.0
97,SOL-USD,1INCH-USD,43.904835728823066,5.0
98,UNI-USD,MATIC-USD,5.393411374798938,6.0
